external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,exchange_rate,fee,tax,note
PRE-A-SIM-QQQ-P1,2023-01-05,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,60,260.00,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-QQQ-P2,2023-03-15,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,SELL,60,319.58,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-QQQ-INIT,2023-04-01,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,17.03,360.29,33,0,0,仿真歷史起始底倉(校準後)
PRE-A-SIM-SPY-P1,2023-01-05,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,65,380.00,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-SPY-P2,2023-03-15,martingale,D倉(長線),US,SPY,S&P 500 ETF,SELL,65,419.90,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-SPY-INIT,2023-04-01,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,18.19,435.18,33,0,0,仿真歷史起始底倉(校準後)
PRE-A-SIM-SOXX-P1,2023-01-05,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,188,130.00,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-SOXX-P2,2023-03-15,martingale,D倉(長線),US,SOXX,Semiconductor ETF,SELL,188,159.90,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-SOXX-INIT,2023-04-01,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,13.96,476.37,33,0,0,仿真歷史起始底倉(校準後)
PRE-A-SIM-IWM-P1,2023-01-05,martingale,D倉(長線),US,IWM,Russell 2000 ETF,BUY,128,170.00,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-IWM-P2,2023-03-15,martingale,D倉(長線),US,IWM,Russell 2000 ETF,SELL,128,189.91,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-IWM-INIT,2023-04-01,martingale,D倉(長線),US,IWM,Russell 2000 ETF,BUY,250.26,174.50,33,0,0,仿真歷史起始底倉(校準後)
PRE-A-SIM-TLT-INIT,2023-04-01,martingale,D倉(長線),US,TLT,20+ Year Treasury Bond,BUY,360.94,95.79,33,0,0,仿真歷史起始底倉
PRE-A-SIM-IJR-INIT,2023-04-01,martingale,D倉(長線),US,IJR,S&P Small-Cap 600,BUY,0.43,117.95,33,0,0,仿真歷史起始底倉
PRE-A-SIM-BTC,2023-06-15,martingale,D倉(長線),US,BTC-USD,Bitcoin,BUY,0.0375,68461.00,33,0,0,比特幣初始建倉模擬
PRE-A-SIM-ETH,2023-06-15,martingale,D倉(長線),US,ETH-USD,Ethereum,BUY,1.3,1977.90,33,0,0,以太幣初始建倉模擬
D倉長線-2023-11-15-QQQ-BUY-1,2023-11-15,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,35,360.29,33,0,0,新增8.4%
D倉長線-2023-11-15-SPY-BUY-2,2023-11-15,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,29,435.18,33,0,0,新增8.4%
D倉長線-2023-11-15-SOXX-BUY-3,2023-11-15,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,22,476.37,33,0,0,新增7.0%
D倉長線-2023-11-15-IWM-BUY-4,2023-11-15,martingale,D倉(長線),US,IWM,Russell 2000 ETF,BUY,69,174.5,33,0,0,新增8.0%
D倉長線-2024-02-13-QQQ-SELL-5,2024-02-13,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,SELL,17,438.58,33,0,0,減碼一半
D倉長線-2024-02-13-SPY-SELL-6,2024-02-13,martingale,D倉(長線),US,SPY,S&P 500 ETF,SELL,14,503.24,33,0,0,減碼一半
D倉長線-2024-02-13-SOXX-SELL-7,2024-02-13,martingale,D倉(長線),US,SOXX,Semiconductor ETF,SELL,11,637.76,33,0,0,減碼一半
D倉長線-2024-02-13-IWM-SELL-8,2024-02-13,martingale,D倉(長線),US,IWM,Russell 2000 ETF,SELL,34,203.06,33,0,0,減碼一半
SPLIT-2024-03-07-SOXX-8,2024-03-07,martingale,D倉(長線),US,SOXX,Semiconductor ETF,SPLIT,3,1,1,0,0,拆股3:1
DEPOSIT-2025-03-31-9,2025-03-31,martingale,D倉(長線),US,CASH,擴大分母 (入金),DEPOSIT,1700000,1,1,0,0,擴大分母 NT$1700000 匯率33
D倉長線-2025-03-31-SPY-BUY-11,2025-03-31,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,18,551.73,33,0,0,加碼5%
D倉長線-2025-03-31-SOXX-BUY-12,2025-03-31,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,54,184.96,33,0,0,加碼5%
