external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,exchange_rate,fee,tax,note
PRE-A-SIM-QQQ-P1,2023-01-05,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,60,260.00,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-QQQ-P2,2023-03-15,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,SELL,60,319.58,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-QQQ-INIT,2023-04-01,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,17.03,1018.58,33,0,0,仿真歷史起始底倉
PRE-A-SIM-SPY-P1,2023-01-05,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,65,380.00,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-SPY-P2,2023-03-15,martingale,D倉(長線),US,SPY,S&P 500 ETF,SELL,65,419.90,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-SPY-INIT,2023-04-01,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,18.19,879.30,33,0,0,仿真歷史起始底倉
PRE-A-SIM-SOXX-P1,2023-01-05,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,188,130.00,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-SOXX-P2,2023-03-15,martingale,D倉(長線),US,SOXX,Semiconductor ETF,SELL,188,159.90,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-SOXX-INIT,2023-04-01,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,13.96,1234.40,33,0,0,仿真歷史起始底倉(拆股前)
PRE-A-SIM-IWM-P1,2023-01-05,martingale,D倉(長線),US,IWM,Russell 2000 ETF,BUY,128,170.00,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-IWM-P2,2023-03-15,martingale,D倉(長線),US,IWM,Russell 2000 ETF,SELL,128,189.91,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-IWM-INIT,2023-04-01,martingale,D倉(長線),US,IWM,Russell 2000 ETF,BUY,250.26,209.53,33,0,0,仿真歷史起始底倉
PRE-A-SIM-TLT-INIT,2023-04-01,martingale,D倉(長線),US,TLT,20+ Year Treasury Bond,BUY,360.94,95.79,33,0,0,仿真歷史起始底倉
PRE-A-SIM-IJR-INIT,2023-04-01,martingale,D倉(長線),US,IJR,S&P Small-Cap 600,BUY,0.43,117.95,33,0,0,仿真歷史起始底倉
PRE-A-SIM-BTC,2023-06-15,martingale,D倉(長線),US,BTC-USD,Bitcoin,BUY,0.0375,68461.00,33,0,0,比特幣初始建倉模擬
PRE-A-SIM-ETH,2023-06-15,martingale,D倉(長線),US,ETH-USD,Ethereum,BUY,1.3,1977.90,33,0,0,以太幣初始建倉模擬
