external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,exchange_rate,fee,tax,note
PRE-A-SIM-QQQ-P1,2023-01-05,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,60,260.0,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-QQQ-P2,2023-03-15,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,SELL,60,308.2996,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-SPY-P1,2023-01-05,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,65,380.0,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-SPY-P2,2023-03-15,martingale,D倉(長線),US,SPY,S&P 500 ETF,SELL,65,409.4873,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-SOXX-P1,2023-01-05,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,188,130.0,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-SOXX-P2,2023-03-15,martingale,D倉(長線),US,SOXX,Semiconductor ETF,SELL,188,156.2999,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-IWM-P1,2023-01-05,martingale,D倉(長線),US,IWM,Russell 2000 ETF,BUY,128,170.0,33,0,0,歷史歷史紀錄模擬(買入)
PRE-A-SIM-IWM-P2,2023-03-15,martingale,D倉(長線),US,IWM,Russell 2000 ETF,SELL,128,184.6223,33,0,0,歷史歷史紀錄模擬(獲利了結)
PRE-A-SIM-QQQ-INIT,2023-04-01,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,54.0555,320.9,33,0,0,仿真歷史起始底倉(合乎時空)
PRE-A-SIM-QQQ-GHOST,2023-11-01,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,SELL,37.0255,354.0,33,0,0,過渡配平賣出(調控比例與損益)
PRE-A-SIM-SPY-INIT,2023-04-01,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,38.9207,410.95,33,0,0,仿真歷史起始底倉(合乎時空)
PRE-A-SIM-SPY-GHOST,2023-11-01,martingale,D倉(長線),US,SPY,S&P 500 ETF,SELL,20.7307,422.0,33,0,0,過渡配平賣出(調控比例與損益)
PRE-A-SIM-SOXX-INIT,2023-04-01,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,41.127,419.0,33,0,0,仿真歷史起始底倉(合乎時空)
PRE-A-SIM-SOXX-GHOST,2023-11-01,martingale,D倉(長線),US,SOXX,Semiconductor ETF,SELL,27.167,470.0,33,0,0,過渡配平賣出(調控比例與損益)
PRE-A-SIM-IWM-INIT,2023-04-01,martingale,D倉(長線),US,IWM,Russell 2000 ETF,BUY,300.6707,174.4,33,0,0,仿真歷史起始底倉(合乎時空)
PRE-A-SIM-IWM-GHOST,2023-11-01,martingale,D倉(長線),US,IWM,Russell 2000 ETF,SELL,50.4107,165.0,33,0,0,過渡配平賣出(調控比例與損益)
PRE-A-SIM-TLT-INIT,2023-04-01,martingale,D倉(長線),US,TLT,20+ Year Treasury Bond,BUY,360.94,95.79,33,0,0,仿真歷史起始底倉(合乎時空)
PRE-A-SIM-IJR-INIT,2023-04-01,martingale,D倉(長線),US,IJR,S&P Small-Cap 600,BUY,0.5311,95.5,33,0,0,仿真歷史起始底倉(合乎時空)
PRE-A-SIM-IJR-GHOST,2023-11-01,martingale,D倉(長線),US,IJR,S&P Small-Cap 600,SELL,0.1011,88.0,33,0,0,過渡配平賣出(調控比例與損益)
PRE-A-SIM-BTC-USD-INIT,2023-04-01,martingale,D倉(長線),US,BTC-USD,Bitcoin,BUY,0.0901,28500.0,33,0,0,仿真歷史起始底倉(合乎時空)
PRE-A-SIM-BTC-USD-GHOST,2023-11-01,martingale,D倉(長線),US,BTC-USD,Bitcoin,SELL,0.0526,35000.0,33,0,0,過渡配平賣出(調控比例與損益)
PRE-A-SIM-ETH-USD-INIT,2023-04-01,martingale,D倉(長線),US,ETH-USD,Ethereum,BUY,1.3899,1850.0,33,0,0,仿真歷史起始底倉(合乎時空)
PRE-A-SIM-ETH-USD-GHOST,2023-11-01,martingale,D倉(長線),US,ETH-USD,Ethereum,SELL,0.0899,1850.0,33,0,0,過渡配平賣出(調控比例與損益)
