external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,exchange_rate,fee,tax,note
D倉長線-2025-04-14-SPY-BUY-15,2025-04-14,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,1.7,542.9,33,0,0,加碼2%
D倉長線-2025-04-14-SOXX-BUY-16,2025-04-14,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,5.1,176.23,33,0,0,加碼2%
D倉長線-2025-04-14-QQQ-BUY-17,2025-04-14,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,2.2,462.78,33,0,0,加碼2%
D倉長線-2025-04-25-SPY-BUY-18,2025-04-25,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,0.8,546.68,33,0,0,加碼1%
D倉長線-2025-04-25-SOXX-BUY-19,2025-04-25,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,2.5,181.25,33,0,0,加碼1%
D倉長線-2025-04-25-QQQ-BUY-20,2025-04-25,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,1.1,466.98,33,0,0,加碼1%
D倉長線-2025-09-10-SQQQ-BUY-53,2025-09-10,martingale,D倉(長線),US,SQQQ,ProShares UltraPro Short QQQ,BUY,1285,16.458,33,0,0,建立反向對沖(預校準均價)
SPLIT-2025-11-20-SQQQ-63,2025-11-20,martingale,D倉(長線),US,SQQQ,ProShares UltraPro Short QQQ,SPLIT,0.2,1,1,0,0,合股1:5
D倉長線-2026-02-24-SQQQ-SELL-69,2026-02-24,martingale,D倉(長線),US,SQQQ,ProShares UltraPro Short QQQ,SELL,257,68.27,33,0,0,剔除9%(目標損益-$3603)
SYNC-2026-03-05-QQQ-SYNC,2026-03-05,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,SELL,13.6,374.25,33,0,0,同步修正至目標股數 59.19
SYNC-2026-03-05-SPY-SYNC,2026-03-05,martingale,D倉(長線),US,SPY,S&P 500 ETF,SELL,10.7,450.66,33,0,0,同步修正至目標股數 52.99
SYNC-2026-03-05-SOXX-SYNC,2026-03-05,martingale,D倉(長線),US,SOXX,Semiconductor ETF,SELL,32.54,162.54,33,0,0,同步修正至目標股數 135.78
SYNC-2026-03-05-IWM-SYNC,2026-03-05,martingale,D倉(長線),US,IWM,Russell 2000 ETF,SELL,8.62,174.94,33,0,0,同步修正至目標股數 337.17
SYNC-2026-03-05-TLT-BUY,2026-02-01,martingale,D倉(長線),US,TLT,20+ Year Treasury Bond,BUY,83.5,94.06,33,0,0,同步修正
SYNC-2026-03-05-IJR-BUY,2026-02-01,martingale,D倉(長線),US,IJR,S&P Small-Cap 600,BUY,18.0,117.95,33,0,0,同步修正
SYNC-2026-03-05-BTC-BUY,2026-02-01,martingale,D倉(長線),US,BTC-USD,Bitcoin,BUY,0.0,68461,33,0,0,同步修正
SYNC-2026-03-05-ETH-BUY,2026-02-01,martingale,D倉(長線),US,ETH-USD,Ethereum,BUY,0.0,1977.9,33,0,0,同步修正
