external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,exchange_rate,fee,tax,note
C倉2022年長線-2023-01-31-2308-BUY-1,2023-01-31,martingale,C倉(2022年長線),TW,2308,台達電,BUY,866,288.5,1,0,0,新增5%
C倉2022年長線-2023-01-31-2317-BUY-2,2023-01-31,martingale,C倉(2022年長線),TW,2317,鴻海,BUY,2543,98.3,1,0,0,新增5%
C倉2022年長線-2023-01-31-2379-BUY-3,2023-01-31,martingale,C倉(2022年長線),TW,2379,瑞昱,BUY,777,321.5,1,0,0,新增5%
C倉2022年長線-2023-01-31-6781-BUY-4,2023-01-31,martingale,C倉(2022年長線),TW,6781,AES-KY,BUY,329,759,1,0,0,新增5%
C倉2022年長線-2023-03-01-2454-BUY-5,2023-03-01,martingale,C倉(2022年長線),TW,2454,聯發科,BUY,158,790,1,0,0,新增2.5%
C倉2022年長線-2023-03-01-2308-BUY-6,2023-03-01,martingale,C倉(2022年長線),TW,2308,台達電,BUY,429,291,1,0,0,加碼2.5%
C倉2022年長線-2023-03-01-2884-BUY-7,2023-03-01,martingale,C倉(2022年長線),TW,2884,玉山金,BUY,5040,24.8,1,0,0,新增2.5%
C倉2022年長線-2023-03-01-3406-BUY-8,2023-03-01,martingale,C倉(2022年長線),TW,3406,玉晶光,BUY,316,395,1,0,0,新增2.5%
C倉2022年長線-2023-03-21-2330-BUY-9,2023-03-21,martingale,C倉(2022年長線),TW,2330,台積電,BUY,477,524,1,0,0,新增5%
C倉2022年長線-2023-03-21-2308-BUY-10,2023-03-21,martingale,C倉(2022年長線),TW,2308,台達電,BUY,843,296.5,1,0,0,加碼5%
C倉2022年長線-2023-04-18-2454-BUY-11,2023-04-18,martingale,C倉(2022年長線),TW,2454,聯發科,BUY,366,682,1,0,0,加碼5%
C倉2022年長線-2023-04-18-2317-BUY-12,2023-04-18,martingale,C倉(2022年長線),TW,2317,鴻海,BUY,2403,104,1,0,0,加碼5%
C倉2022年長線-2023-04-26-2330-BUY-13,2023-04-26,martingale,C倉(2022年長線),TW,2330,台積電,BUY,676,493,1,0,0,加碼6.67%
C倉2022年長線-2023-04-26-2454-BUY-14,2023-04-26,martingale,C倉(2022年長線),TW,2454,聯發科,BUY,518,643,1,0,0,加碼6.67%
C倉2022年長線-2023-04-26-1101-BUY-15,2023-04-26,martingale,C倉(2022年長線),TW,1101,台泥,BUY,8617,38.7,1,0,0,新增6.67%
C倉2022年長線-2023-05-18-2454-BUY-16,2023-05-18,martingale,C倉(2022年長線),TW,2454,聯發科,BUY,724,690,1,0,0,加碼10%
C倉2022年長線-2023-05-29-3406-BUY-17,2023-05-29,martingale,C倉(2022年長線),TW,3406,玉晶光,BUY,2551,392,1,0,0,加碼20%
C倉2022年長線-2024-07-12-2330-SELL-18,2024-07-12,martingale,C倉(2022年長線),TW,2330,台積電,SELL,178,1030,1,0,0,減碼3.67%
C倉2022年長線-2024-07-12-2454-SELL-19,2024-07-12,martingale,C倉(2022年長線),TW,2454,聯發科,SELL,335,1365,1,0,0,減碼9.17%
C倉2022年長線-2024-07-12-2317-SELL-20,2024-07-12,martingale,C倉(2022年長線),TW,2317,鴻海,SELL,1063,219,1,0,0,減碼4.66%
C倉2022年長線-2024-07-12-3406-SELL-21,2024-07-12,martingale,C倉(2022年長線),TW,3406,玉晶光,SELL,208,599,1,0,0,減碼2.50%
C倉2022年長線-2024-07-12-3406-SELL-22,2024-07-12,martingale,C倉(2022年長線),TW,3406,玉晶光,SELL,834,599,1,0,0,減碼10%
C倉2022年長線-2024-08-06-2379-BUY-23,2024-08-06,martingale,C倉(2022年長線),TW,2379,瑞昱,BUY,521,479.5,1,0,0,加碼5%
C倉2022年長線-2024-08-06-6781-BUY-24,2024-08-06,martingale,C倉(2022年長線),TW,6781,AES-KY,BUY,538,464.5,1,0,0,加碼5%
C倉2022年長線-2024-08-06-006208-BUY-25,2024-08-06,martingale,C倉(2022年長線),TW,006208,富邦台50,BUY,5133,97.4,1,0,0,新增10%
C倉2022年長線-2024-08-22-2317-SELL-26,2024-08-22,martingale,C倉(2022年長線),TW,2317,鴻海,SELL,1451,184,1,0,0,減碼5.34%
C倉2022年長線-2024-08-22-2454-SELL-27,2024-08-22,martingale,C倉(2022年長線),TW,2454,聯發科,SELL,304,1230,1,0,0,減碼7.5%
C倉2022年長線-2024-12-05-6781-SELL-28,2024-12-05,martingale,C倉(2022年長線),TW,6781,AES-KY,SELL,144,1040,1,0,0,減碼3%
C倉2022年長線-2024-12-19-2308-SELL-29,2024-12-19,martingale,C倉(2022年長線),TW,2308,台達電,SELL,301,415,1,0,0,減碼2.5%
C倉2022年長線-2024-12-19-2454-SELL-30,2024-12-19,martingale,C倉(2022年長線),TW,2454,聯發科,SELL,53,1400,1,0,0,減碼1.5%
C倉2022年長線-2024-12-19-3406-SELL-31,2024-12-19,martingale,C倉(2022年長線),TW,3406,玉晶光,SELL,537,465.5,1,0,0,減碼5%
C倉2022年長線-2024-12-19-6781-SELL-32,2024-12-19,martingale,C倉(2022年長線),TW,6781,AES-KY,SELL,108,921,1,0,0,減碼2%
